ERROR|COMPILE_TIME_ERROR|NON_EXHAUSTIVE_SWITCH_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\habit\\presentation\\edit_habit_screen.dart|115|33|6|The type 'HabitType' isn't exhaustively matched by the switch cases since it doesn't match the pattern 'HabitType.checkbox'.
WARNING|STATIC_WARNING|UNUSED_ELEMENT|C:\\flutter_project\\mira\\lib\\features\\dashboard\\dashboard_screen.dart|443|10|10|The declaration '_dateLabel' isn't referenced.
WARNING|STATIC_WARNING|UNUSED_LOCAL_VARIABLE|C:\\flutter_project\\mira\\lib\\features\\finance\\add_transaction_screen.dart|219|21|15|The value of the local variable 'durationSummary' isn't used.
WARNING|STATIC_WARNING|UNUSED_ELEMENT|C:\\flutter_project\\mira\\lib\\features\\finance\\add_transaction_screen.dart|722|33|13|The declaration '_pickDuration' isn't referenced.
WARNING|STATIC_WARNING|UNUSED_ELEMENT|C:\\flutter_project\\mira\\lib\\features\\finance\\finance_analysis_screen.dart|585|8|20|The declaration '_commentaryLocalized' isn't referenced.
WARNING|STATIC_WARNING|UNUSED_ELEMENT|C:\\flutter_project\\mira\\lib\\features\\finance\\finance_analysis_screen.dart|601|9|13|The declaration '_parseNumeric' isn't referenced.
WARNING|STATIC_WARNING|UNUSED_ELEMENT|C:\\flutter_project\\mira\\lib\\features\\finance\\finance_analysis_screen.dart|607|7|19|The declaration '_ThousandsFormatter' isn't referenced.
WARNING|STATIC_WARNING|UNUSED_ELEMENT|C:\\flutter_project\\mira\\lib\\features\\fortune_eggs\\presentation\\fortune_eggs_screen.dart|328|10|21|The declaration '_buildEggWithProgress' isn't referenced.
WARNING|STATIC_WARNING|UNUSED_ELEMENT|C:\\flutter_project\\mira\\lib\\features\\habit\\presentation\\advanced_habit_wizard_screen.dart|679|10|27|The declaration '_buildCategorySelectionPage' isn't referenced.
WARNING|STATIC_WARNING|UNUSED_ELEMENT|C:\\flutter_project\\mira\\lib\\features\\habit\\presentation\\create_habit_screen_old.dart|293|16|16|The declaration '_openColorDialog' isn't referenced.
WARNING|STATIC_WARNING|UNUSED_ELEMENT|C:\\flutter_project\\mira\\lib\\features\\habit\\presentation\\habit_analysis_screen.dart|1539|7|11|The declaration '_safeTarget' isn't referenced.
WARNING|STATIC_WARNING|UNUSED_ELEMENT|C:\\flutter_project\\mira\\lib\\features\\habit\\presentation\\habit_analysis_screen.dart|1698|7|21|The declaration '_sumMinutesAllHistory' isn't referenced.
WARNING|STATIC_WARNING|UNUSED_ELEMENT|C:\\flutter_project\\mira\\lib\\features\\habit\\presentation\\habit_analysis_screen.dart|1762|7|22|The declaration '_totalDaysInAllHistory' isn't referenced.
WARNING|STATIC_WARNING|UNUSED_LOCAL_VARIABLE|C:\\flutter_project\\mira\\lib\\features\\habit\\presentation\\habit_screen.dart|1498|11|4|The value of the local variable 'l10n' isn't used.
WARNING|STATIC_WARNING|UNUSED_LOCAL_VARIABLE|C:\\flutter_project\\mira\\lib\\features\\habit\\presentation\\widgets\\frequency_selector.dart|44|11|11|The value of the local variable 'colorScheme' isn't used.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|79|45|16|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|84|42|10|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|85|40|8|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|86|41|9|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|114|34|18|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|120|19|43|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|140|47|15|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|150|46|14|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|163|38|19|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|174|35|16|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|195|35|28|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|209|31|27|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|243|33|17|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|346|36|18|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|354|39|21|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|362|38|20|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|392|40|9|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|393|54|2|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|400|42|6|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|404|44|8|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|413|34|8|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|448|38|12|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|455|73|6|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|472|59|13|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|490|55|8|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|508|55|6|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|518|44|8|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|536|42|6|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|691|30|10|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|715|48|25|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|718|29|33|The left operand can't be null, so the right operand is never executed.
WARNING|STATIC_WARNING|DEAD_NULL_AWARE_EXPRESSION|C:\\flutter_project\\mira\\lib\\features\\mood\\presentation\\mood_analytics_screen.dart|719|45|32|The left operand can't be null, so the right operand is never executed.
